,username,date,content,user_location,bulan
36,PolsekPlaju3,2021-03-05 07:14:44+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Sudah di Vaksin!

Kapolsek Plaju
Iptu Novel Siswandi Kurniawan, SH, MH
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/hQFsKIcoan",Sumatera Selatan,Maret
37,PolsekPlaju3,2021-03-05 07:12:58+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Siap di Vaksin!
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/TOR07pqmHQ",Sumatera Selatan,Maret
38,PolsekPlaju3,2021-03-05 07:09:12+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Sudah di Vaksin!

Kapolsek Plaju
Iptu Novel Siswandi Kurniawan, SH, MH
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/8hTVTOAR3h",Sumatera Selatan,Maret
39,PolsekPlaju3,2021-03-05 07:08:22+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Siap di Vaksin!
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/W0l6eS2eo5",Sumatera Selatan,Maret
40,PolsekPlaju3,2021-03-05 07:05:20+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Sudah di Vaksin!

Kapolsek Plaju
Iptu Novel Siswandi Kurniawan, SH, MH
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/3AqlqU4IDG",Sumatera Selatan,Maret
41,PolsekPlaju3,2021-03-05 07:04:35+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Siap di Vaksin!
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/cDewoz4dbS",Sumatera Selatan,Maret
42,PolsekPlaju3,2021-03-04 01:35:13+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Siap Di Vaksin!

Kapolsek Plaju
Iptu Novel Siswandi Kurniawan. SH. MH
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/0lkWqEW1tx",Sumatera Selatan,Maret
43,PolsekPlaju3,2021-03-03 12:01:29+00:00,"*INFO POLISI*
WASPADA! 
Penipuan Vaksin Covid-19

_Ada ribuan penipu sudah bersiap memanfaatkan program vaksinasi Covid-19. Penipuan akan terlihat meyakinkan, seolah resmi dikeluarkan oleh pemerintah. Oleh karena itu masyarakat diminta waspada.
@CCICPolri https://t.co/jRy3WUr2as",Sumatera Selatan,Maret
44,PolsekPlaju3,2021-03-03 07:45:59+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Siap Di Vaksin!

Kapolsek Plaju
Iptu Novel Siswandi Kurniawan. SH. MH
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/R3yaGgfy1S",Sumatera Selatan,Maret
45,ranggaerfizal,2021-03-01 09:42:24+00:00,"Wartawan waktu mau vaksin ditanya penyakit penyerta, buntu",Sumatera Selatan,Maret
